City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Pevek,RU,69.7008,170.3133,32.32,98,100,12.41,overcast clouds
229,Carnarvon,AU,-24.8667,113.6333,70.34,42,82,12.26,broken clouds
230,Salalah,OM,17.0151,54.0924,75.29,100,100,0.0,drizzle
231,Wonthaggi,AU,-38.6044,145.5913,50.83,62,4,5.93,clear sky
232,Pedasi,PA,7.5333,-80.0333,79.07,83,100,4.83,overcast clouds
233,Samarai,PG,-10.6167,150.6667,82.22,74,16,6.89,few clouds
234,Paita,PE,-5.0892,-81.1144,63.0,85,62,13.65,broken clouds
235,Arman,RU,59.7,150.1667,75.02,73,36,5.37,scattered clouds
236,Ziro,IN,27.6333,93.8333,57.94,96,97,0.72,overcast clouds
237,Lavrentiya,RU,65.5833,-171.0,43.2,64,75,8.55,broken clouds
238,Esmeralda,CU,21.8525,-78.1169,78.49,85,9,8.5,clear sky
239,Mbaiki,CF,3.8678,17.9892,68.0,99,100,2.04,overcast clouds
240,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,100,75,8.43,light intensity drizzle
241,Kerrville,US,30.0474,-99.1403,93.54,38,0,4.61,clear sky
242,Poros,GR,37.4994,23.4536,75.85,61,0,30.33,clear sky
243,Tiarei,PF,-17.5333,-149.3333,82.42,67,1,4.5,clear sky
244,Jining,CN,35.405,116.5814,71.85,95,100,6.35,overcast clouds
245,Sao Filipe,CV,14.8961,-24.4956,77.72,81,65,5.91,broken clouds
246,Dikson,RU,73.5069,80.5464,46.27,69,100,13.13,overcast clouds
247,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,3.44,overcast clouds
248,Broken Hill,AU,-31.95,141.4333,48.7,62,82,12.28,broken clouds
249,Georgiyevka,KZ,43.0369,74.7114,81.66,22,0,9.15,clear sky
250,Camacha,PT,33.0833,-16.3333,67.42,73,40,12.66,scattered clouds
251,Warrenton,ZA,-28.114,24.8475,50.23,51,0,7.49,clear sky
252,Aci Castello,IT,37.5583,15.1346,76.95,67,0,5.75,clear sky
253,Manor,IN,19.75,72.9167,78.67,89,99,7.4,overcast clouds
254,Grand Gaube,MU,-20.0064,57.6608,70.2,74,94,11.01,light rain
255,Beipiao,CN,41.7919,120.7792,85.19,47,53,2.24,broken clouds
256,Sinegorye,RU,62.0788,150.477,65.07,81,100,7.29,overcast clouds
257,Tessalit,ML,20.1986,1.0114,89.2,35,90,6.58,overcast clouds
258,Khandyga,RU,62.6667,135.6,81.57,44,99,3.31,overcast clouds
259,Sorong,ID,-0.8833,131.25,82.31,74,99,10.85,overcast clouds
260,Pind Dadan Khan,PK,32.5879,73.0456,92.41,56,42,5.01,scattered clouds
261,Talaya,RU,61.3833,152.75,67.95,76,100,8.08,overcast clouds
262,Esperance,AU,-33.8667,121.9,57.9,74,96,13.58,overcast clouds
263,Puri,IN,19.8,85.85,79.32,76,100,11.83,light rain
264,Jalu,LY,29.0331,21.5482,75.18,50,2,10.29,clear sky
265,Uni,RU,57.7535,51.4923,54.77,94,70,11.34,broken clouds
