City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Huntsville,US,85.17,broken clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
392,Baryshivka,UA,77.11,broken clouds,50.361,31.3217,"The regional children's sanatorium ""Polyana"""
394,Ranong,TH,76.87,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
395,Kieta,PG,80.64,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
396,Luganville,VU,77.77,few clouds,-15.5333,167.1667,The Espiritu Hotel
397,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
400,Lar,IN,84.85,heavy intensity rain,26.2039,83.9717,Ovaiskarni ward Lar
401,Koszalin,PL,89.73,overcast clouds,54.1944,16.1722,Hotel Gromada
402,Leominster,US,88.29,clear sky,42.5251,-71.7598,DoubleTree by Hilton Hotel Leominster
404,Daru,PG,76.59,broken clouds,-9.0763,143.2092,Daru Lodge
405,Playa Vicente,MX,77.97,overcast clouds,17.8333,-95.8167,"Hotel ""Imperio"""
407,Presidencia Roque Saenz Pena,AR,78.93,overcast clouds,-26.7852,-60.4388,Hotel Gualok
410,Kanakapura,IN,78.03,overcast clouds,12.55,77.4167,Sri Matha Lodge
415,Umm Lajj,SA,87.53,clear sky,25.0213,37.2685,Moon light Furnished Units
416,Hoi An,VN,78.76,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
419,Newberry,US,83.46,moderate rain,34.2746,-81.6187,Hampton Inn Newberry-Opera House
420,Ozinki,RU,78.94,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
422,Bubaque,GW,78.98,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
424,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
427,Morondava,MG,77.18,clear sky,-20.2833,44.2833,La Case Bambou
429,Saint-Denis,FR,83.93,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
430,Novorzhev,RU,81.52,few clouds,57.0294,29.3338,D. Maloe Nikulino
431,El Dorado,US,75.06,clear sky,38.7666,-120.5177,South Fork Group Campground
434,Kamina,CD,83.66,overcast clouds,-8.7386,24.9906,Guest House Florvia
435,Shaowu,CN,82.33,clear sky,27.3409,117.4831,Yijie Express Hotel
440,Tezpur,IN,80.71,overcast clouds,26.6333,92.8,Hotel Kanyapur
442,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
445,Teknaf,BD,82.65,overcast clouds,20.8624,92.3058,Forestry Guesthouse
446,Hinganghat,IN,80.4,overcast clouds,20.5667,78.8333,Zambre Villa
448,Manggar,ID,80.94,scattered clouds,-2.8833,108.2667,Guest Hotel
461,Griffith,US,82.33,clear sky,41.5284,-87.4237,Apartment above Depot Bar
464,Dicabisagan,PH,81.97,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
465,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
468,Sur,OM,89.89,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
474,Kirakira,SB,79.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
475,Riberalta,BO,79.0,clear sky,-10.9833,-66.1,Hotel Colonial
